"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"rid","rid.v.01","relieve from","verb.possession","['rid', 'ridding', 'rids', 'ridded']",3051
"enter","enter.v.01","to come or go into","verb.motion","['enter', 'entered', 'entering', 'enters']",3038
"hired","hire.v.01","engage or hire for work","verb.social","['hired', 'hire', 'hiring', 'hires']",3005
"fit","suit.v.01","be agreeable or acceptable to","verb.stative","['fit', 'fits', 'suited', 'fitting', 'accommodate', 'fitted', 'accommodating', 'suiting', 'accommodated', 'accommodates']",2991
"shake","shake.v.01","move or cause to move back and forth","verb.motion","['shake', 'shaking', 'shook', 'shakes', 'shaken']",2991
"feed","feed.v.01","provide as food","verb.consumption","['feed', 'fed', 'feeding', 'feeds']",2984
"pissed","make.v.49","eliminate urine","verb.body","['pissed', 'piss', 'pee', 'pissing', 'peed', 'pisses', 'peeing', 'pees', 'micturated']",2957
"smoke","smoke.v.01","inhale and exhale smoke from cigarettes, cigars, pipes","verb.consumption","['smoke', 'smoking', 'smoked', 'smokes']",2919
"ruin","destroy.v.02","destroy completely; damage irreparably","verb.contact","['ruin', 'ruined', 'ruining']",2884
"studying","analyze.v.01","consider in detail and subject to an analysis in order to discover essential features or meaning","verb.cognition","['studying', 'studied', 'examine', 'examined', 'analyze', 'analyzed', 'examining', 'analyzing', 'analyse', 'analysed', 'analysing', 'examines', 'analyzes']",2881
"buried","bury.v.01","cover from sight","verb.perception","['buried', 'bury', 'burying', 'buries']",2870
